10010	2907
10010	63781
1002	203857
10075	132129
10075	132298
10075	133954
10075	136262
10075	136732
10075	138043
10075	138418
10075	139924
10075	141731
10075	142044
10075	24122
10075	45245
10075	58616
10075	58655
10075	58656
10075	58715
10075	58945
10075	59362
10089	13335
10089	4741
10099	2516
10099	58411
101	14221
101	3477
10103	140944
10103	17444
10103	3491
10229	24376
10242	30325
10299	270035
10310	10229
10310	10230
10310	14196
10310	14210
10310	14776
10310	14777
10310	14778
10310	14779
10310	14780
10310	14781
10310	17457
10310	18293
10310	203070
10310	203219
10310	203220
10310	24506
10310	26085
10310	26101
10310	28122
10310	34010
10310	36088
10310	36229
10310	36646
10310	36647
10310	36752
10310	38032
10310	393245
10310	40986
10310	43428
10310	45501
10310	56173
10310	5779
10310	58525
10310	7233
10474	327880
10474	328045
10620	14080
10620	3573
10796	11955
10796	14488
10796	174
10796	36726
10796	396469
10796	40264
10834	3573
10834	5692
10834	61493
10835	33152
10835	395494
10835	6621
10886	3477
10912	26558
10912	32374
10912	3356
10912	35913
10912	393347
10912	395678
10912	64267
10913	13443
10913	13607
10913	19133
10913	26558
10913	7786
10965	16796
11014	262230
11014	263194
11014	265634
11014	266884
11014	27865
11014	27984
11014	3573
11019	62833
1103	1101
1103	1152
11081	52391
11114	397501
11114	53256
11114	53989
11172	28418
11172	6621
11232	394487
11232	397324
11242	263613
11259	37603
11260	142418
11260	3367
11260	53356
11260	63019
11271	266417
11272	26949
11272	396926
11272	399065
11272	53507
11351	11440
11351	18694
11351	25915
11351	7828
11404	14589
11404	14746
11404	15169
11404	16713
11404	2044
11404	27568
11404	394092
11404	397332
11404	4213
11404	54116
11404	54858
11404	55002
11404	55106
11404	6596
11426	14995
11426	15297
11426	19115
11427	393837
11432	263583
11432	264071
11432	264101
11432	264110
11432	264144
11432	264247
11432	264367
11432	264577
11432	265886
11432	266082
11432	267378
11432	267473
11432	267603
11432	268459
11432	268502
11432	268523
11432	268551
11432	268721
11432	269266
11432	269670
11432	270304
11432	270468
11432	270675
11432	270826
11432	270860
11432	270995
11432	271018
11432	271027
11432	271138
11432	271537
11432	271579
11432	271632
11432	271639
11432	271652
11432	272210
11432	272230
11432	272232
11432	272245
11432	272423
11432	272465
11432	272484
11432	272488
11432	28189
11432	28283
11432	37468
11432	52527
11432	52866
11432	53018
11537	2152
11537	396961
11650	39970
11664	19037
11664	20002
11664	262249
11664	270015
11664	28073
11664	52405
11722	22121
11758	19331
11758	63267
11796	394728
11796	397122
11796	46262
11814	395938
11830	3323
11830	3790
11835	262756
11835	267178
11835	267974
11835	270307
11835	272217
11835	53046
11845	20940
11845	36183
11845	37497
11855	35913
11878	14756
11878	397270
11878	399139
11878	399533
11878	400232
11979	26727
12025	395174
12025	396930
12025	62947
12042	400115
12042	64227
12129	13737
12129	19748
12129	22878
12129	397085
12129	398351
12129	53292
1213	2128
12179	13791
12179	19133
12179	211059
12179	32475
12179	35913
12179	393398
12179	39618
12179	397494
12179	400636
12179	63018
12182	32475
12182	35913
12182	40885
12182	46253
12182	46253
12182	54112
12189	136899
12189	19181
12189	20454
12189	208136
12189	209485
12189	210266
12189	213246
12189	39239
12189	397378
12189	400672
12189	46385
1221	131999
1221	132203
1221	132370
1221	13335
1221	133414
1221	134555
1221	135885
1221	137442
1221	139057
1221	16509
1221	18055
1221	19551
1221	20940
1221	21859
1221	22787
1221	23686
1221	24098
1221	24516
1221	36183
1221	36236
1221	4764
1221	64098
1221	7467
1221	9507
12252	64114
12271	14478
12306	209943
12306	47487
12306	62434
12307	28875
12310	203589
12310	44679
12310	60531
12312	213211
12312	8878
12322	36040
12322	51207
12329	197990
12329	3320
12337	204038
12337	25115
12337	60955
12348	12655
12353	202277
12360	203441
12387	41622
12389	13259
12389	138322
12389	199524
12389	200107
12389	201776
12389	203493
12389	20485
12389	28761
12389	3216
12389	39150
12389	39229
12389	39293
12389	4134
12389	42136
12389	44237
12389	4809
12389	48479
12389	48651
12389	56603
12389	57683
12389	58027
1239	138005
1239	14080
1239	18678
1239	1880
1239	22711
1239	262195
1239	262589
1239	28032
1239	33059
1239	35986
1239	398465
1239	4046
1239	46261
1239	52280
1239	52468
1239	6908
12400	199391
12400	35758
12400	61102
