q_learning,tit_for_tat,accumulate_credits,detective,grudger
5.8,10.35,0.0,6.0,0.0
5.8,10.35,0.0,6.0,0.0
7.95,6.05,0.0,1.5,0.0
7.95,6.05,0.0,1.5,0.0
7.95,6.05,0.0,1.5,0.0
7.95,6.05,0.0,1.5,0.0
7.95,6.05,0.0,1.5,0.0
5.3,10.5,7.5,0.0,0.0
5.3,10.5,7.5,0.0,0.0
5.3,10.5,7.5,0.0,0.0
5.3,10.5,7.5,0.0,0.0
5.3,10.5,7.5,0.0,0.0
4.15,11.6,0.0,4.5,0.0
4.15,11.6,0.0,4.5,0.0
4.15,11.6,0.0,4.5,0.0
4.15,11.6,0.0,4.5,0.0
4.15,11.6,0.0,4.5,0.0
7.05,6.0,4.5,9.0,0.0
7.05,6.0,4.5,9.0,0.0
7.05,6.0,4.5,9.0,0.0
7.05,6.0,4.5,9.0,0.0
7.05,6.0,4.5,9.0,0.0
5.45,7.95,0.0,13.5,9.95
5.45,7.95,0.0,13.5,9.95
5.45,7.95,0.0,13.5,9.95
5.45,7.95,0.0,13.5,9.95
5.45,7.95,0.0,13.5,9.95
6.45,11.25,0.0,0.0,0.0
6.45,11.25,0.0,0.0,0.0
6.45,11.25,0.0,0.0,0.0
6.45,11.25,0.0,0.0,0.0
6.45,11.25,0.0,0.0,0.0
5.7,0.0,0.0,0.0,12.05
5.7,0.0,0.0,0.0,12.05
5.7,0.0,0.0,0.0,12.05
5.7,0.0,0.0,0.0,12.05
5.7,0.0,0.0,0.0,12.05
5.4,5.85,0.0,7.5,3.05
5.4,5.85,0.0,7.5,3.05
5.4,5.85,0.0,7.5,3.05
5.4,5.85,0.0,7.5,3.05
5.4,5.85,0.0,7.5,3.05
7.8,13.4,0.0,6.05,0.0
7.8,13.4,0.0,6.05,0.0
7.8,13.4,0.0,6.05,0.0
7.8,13.4,0.0,6.05,0.0
7.8,13.4,0.0,6.05,0.0
7.3,0.05,7.5,0.0,7.5
7.3,0.05,7.5,0.0,7.5
7.3,0.05,7.5,0.0,7.5
7.3,0.05,7.5,0.0,7.5
7.3,0.05,7.5,0.0,7.5
6.8,0.0,13.4,0.0,0.0
6.8,0.0,13.4,0.0,0.0
6.8,0.0,13.4,0.0,0.0
6.8,0.0,13.4,0.0,0.0
6.8,0.0,13.4,0.0,0.0
7.2,11.55,0.0,13.2,0.0
7.2,11.55,0.0,13.2,0.0
7.2,11.55,0.0,13.2,0.0
7.2,11.55,0.0,13.2,0.0
7.2,11.55,0.0,13.2,0.0
5.3,1.5,4.5,0.0,0.0
5.3,1.5,4.5,0.0,0.0
5.3,1.5,4.5,0.0,0.0
5.3,1.5,4.5,0.0,0.0
5.3,1.5,4.5,0.0,0.0
6.85,10.55,0.0,0.0,12.0
6.85,10.55,0.0,0.0,12.0
6.85,10.55,0.0,0.0,12.0
6.85,10.55,0.0,0.0,12.0
6.85,10.55,0.0,0.0,12.0
