0,1,2,3,4,5,6,7,8,9
40.0,32.0,40.0,36.0,26.0,54.0,42.0,48.0,30.0,42.0
70.0,32.0,60.0,54.0,64.0,52.0,42.0,30.0,46.0,56.0
74.0,40.0,82.0,44.0,82.0,70.0,30.0,56.0,54.0,50.0
76.0,50.0,68.0,44.0,48.0,56.0,50.0,44.0,42.0,44.0
68.0,42.0,82.0,52.0,58.0,62.0,60.0,22.0,68.0,48.0
86.0,60.0,66.0,70.0,46.0,72.0,66.0,56.0,64.0,42.0
48.0,62.0,72.0,48.0,54.0,48.0,64.0,50.0,34.0,44.0
74.0,56.0,52.0,56.0,58.0,56.0,36.0,44.0,54.0,48.0
58.0,36.0,64.0,64.0,38.0,58.0,40.0,56.0,56.0,24.0
68.0,62.0,72.0,54.0,52.0,96.0,56.0,64.0,70.0,58.0
74.0,52.0,64.0,48.0,54.0,66.0,46.0,40.0,68.0,44.0
70.0,60.0,80.0,78.0,54.0,68.0,62.0,42.0,60.0,68.0
56.0,52.0,74.0,44.0,48.0,56.0,68.0,42.0,50.0,66.0
68.0,52.0,56.0,50.0,54.0,84.0,36.0,48.0,56.0,68.0
44.0,50.0,70.0,62.0,66.0,74.0,58.0,50.0,70.0,62.0
64.0,32.0,68.0,48.0,64.0,70.0,70.0,62.0,50.0,48.0
80.0,78.0,84.0,56.0,76.0,68.0,76.0,72.0,56.0,60.0
82.0,56.0,96.0,74.0,58.0,94.0,74.0,80.0,64.0,62.0
86.0,72.0,70.0,60.0,58.0,70.0,70.0,50.0,72.0,56.0
62.0,64.0,92.0,74.0,62.0,86.0,68.0,48.0,76.0,50.0
